GroupNum,Group,Biomass,PB,QB,Diet ,Fishery,ByCatch
1,Whales,0.3,0.5,0.5,0.5,0,0.5
2,Toothed cetaceans,0.3,0.5,0.5,0.5,0,0.5
3,Seals,0.6,0.3,0.3,0.5,0,0.5
4,Sea birds,0.5,0.5,0.5,0.5,0,0.5
5,Sharks,0.3,0.4,0.4,0.3,0.5,0.5
6,Large pelagic,0.5,0.3,0.4,0.5,0.3,0.5
7,Cod <1,0.3,0.3,0.3,0.3,0,0.3
8,Cod 1-3,0.3,0.3,0.3,0.3,0.3,0.3
9,Cod 4-6,0.1,0.1,0.3,0.3,0.1,0.1
10,Cod 7+,0.1,0.1,0.3,0.3,0.1,0.1
11,S Hake <25,0.5,0.5,0.5,0.5,0,0.3
12,S Hake 25-31,0.4,0.3,0.3,0.3,0.3,0.3
13,S Hake 31+,0.3,0.3,0.3,0.3,0.1,0.1
14,Halibut <46,0.3,0.5,0.5,0.5,0,0.1
15,Halibut 46-81,0.1,0.3,0.1,0.3,0.3,0.1
16,Halibut 82+,0.1,0.3,0.1,0.3,0.1,0
17,Pollock <49,0.5,0.4,0.3,0.3,0,0.3
18,Pollock 49+,0.5,0.4,0.3,0.3,0.3,0.1
19,D piscvores <40,0.3,0.3,0.3,0.5,0,0.3
20,D piscvores 40+,0.3,0.3,0.3,0.5,0.3,0.3
21,L benthivores <41,0.3,0.3,0.3,0.5,0,0.3
22,L bentivores 41+,0.3,0.3,0.3,0.5,0.3,0.3
23,Skates <49,0.3,0.3,0.3,0.5,0,0.3
24,Skates 49+,0.3,0.3,0.3,0.5,0.3,0.3
25,Dogfish,0.7,0.5,0.3,0.5,0.5,0.5
26,Redfish <22,0.5,0.5,0.3,0.4,0,0.3
27,Redfish 22+,0.5,0.5,0.3,0.4,0.3,0.3
28,A plaice <26,0.3,0.3,0.3,0.5,0,0.3
29,A plaice 26+,0.3,0.3,0.3,0.5,0.7,0.5
30,Flounders <30,0.3,0.3,0.3,0.5,0,0.3
31,Flounders 30+,0.3,0.3,0.3,0.5,0.3,0.3
32,Haddock <3,0.1,0.1,0.3,0.5,0,0.1
33,Haddock 3+,0.1,0.1,0.3,0.5,0.3,0.1
34,L sculpin <25,0.3,0.5,0.3,0.5,0,0.5
35,L sculpin 25+,0.3,0.5,0.3,0.5,0.3,0.5
36,Herring <4,0.5,0.5,0.3,0.5,0,0.3
37,Herring 4+,0.5,0.5,0.3,0.5,0.3,0.3
38,Other pelagic,0.5,0.5,0.3,0.5,0,0.5
39,Mackerel,0.5,0.5,0.5,0.5,0.3,0.5
40,Mesopelagic,0.8,0.7,0.7,0.7,0,0.5
41,Small-medium benthivores,0.6,0.7,0.7,0.7,0,0.5
42,Squids,0.7,0.5,0.5,0.7,0,0.5
43,Lobster,0.5,0.5,0.8,0.7,0.1,0
44,Large crabs,0.6,0.6,0.8,0.7,0.1,0.5
45,Small crabs,0.6,0.6,0.8,0.7,0,0.5
46,Shrimps,0.8,0.5,0.8,0.5,0.1,0
47,Scallop,0.6,0.5,0.8,0.5,0.1,0
48,Bivalves,0.6,0.5,0.8,0.7,0,0
49,Other molluscs,0.6,0.5,0.8,0.7,0,0.5
50,Other arthropoda,0.6,0.5,0.8,0.7,0,0
51,Echinoderms,0.6,0.5,0.8,0.7,0,0.5
52,Sessile benthic groups,0.6,0.5,0.8,0.7,0,0
53,Worms,0.6,0.5,0.8,0.7,0,0
54,Meiofauna,0.8,0.8,0.8,0.7,0,0
55,Gelatinous zoop,0.5,0.6,0.6,0.6,0,0
56,Macrozoop,0.3,0.5,0.5,0.6,0,0
57,Mesozoop,0.3,0.5,0.5,0.6,0,0
58,Microzoop,0.8,0.6,0.6,0.6,0,0
59,Microflora,0.8,0,0,0,0,0
60,Phytoplankton,0.5,0,0,0,0,0
61,Discards,0,0,0,0,0,0
62,Detritus,0,0,0,0,0,0
63,Fishery1,0,0,0,0,0,0
